№ з/п,Код за ЄДРПОУ балансоутримувача,Повне найменування балансоутримувача,Місцезнаходження балансоутримувача,Код суб'єкта управління майном,Назва суб'єкта управління майном,"Кількість нерухомого державного майна (будівель та споруд), крім майна, розташованого на території АР Крим тв м. Севастополя"
4678,08588791,АВАРІЙНО-РЯТУВАЛЬНИЙ ЗАГІН СПЕЦІАЛЬНОГО ПРИЗНАЧЕННЯ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У КІРОВОГРАДСЬКІЙ ОБЛАСТІ,"25006 М.КРОПИВНИЦЬКИЙ, ПОДІЛЬСЬКИЙ Р-Н, ВУЛ.ШЕВЧЕНКА, БУД. 3",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,69
4679,36788135,28 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"82500 ЛЬВІВСЬКА ОБЛ., ТУРКІВСЬКИЙ Р-Н, М.ТУРКА, ПЛОЩА РИНОК, БУД. 27",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,7
4680,33965532,СПЕЦІАЛЬНИЙ АВІАЦІЙНИЙ ЗАГІН ОПЕРАТИВНО-РЯТУВАЛЬНОЇ СЛУЖБИ ЦИВІЛЬНОГО ЗАХИСТУ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ,"16603 ЧЕРНІГІВСЬКА ОБЛ., М.НІЖИН, ВУЛ.КОСМОНАВТІВ, БУД. 90",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,144
4681,19084117,ЛУГАНСЬКИЙ ОБЛАСНИЙ ЦЕНТР З ГІДРОМЕТЕОРОЛОГІЇ,"93106 ЛУГАНСЬКА ОБЛ., М.ЛИСИЧАНСЬК, ВУЛ.ІМ. В.СОСЮРИ, БУД. 166",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,28
4682,38336966,5 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИИХ СИТУАЦІЙ У КИЇВСЬКІЙ ОБЛАСТІ,"7400 КИЇВСЬКА ОБЛ., М.БРОВАРИ, ВУЛ.СИМОНА ПЕТЛЮРИ, БУД. 11 А",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,7
4683,38395780,5 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У МИКОЛАЇВСЬКІЙ ОБЛАСТІ,"54050 М.МИКОЛАЇВ, КОРАБЕЛЬНИЙ Р-Н, ВУЛ.ЯНТАРНА, БУД. 318-В",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,17
4684,23315440,8 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛУГАНСЬКІЙ ОБЛАСТІ,"94300 ЛУГАНСЬКА ОБЛ., ПЕРЕВАЛЬСЬКИЙ Р-Н, М.ПЕРЕВАЛЬСЬК, ВУЛ.МИРУ, БУД. 16",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,21
4685,23315462,20 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛУГАНСЬКІЙ ОБЛАСТІ,"93805 ЛУГАНСЬКА ОБЛ., М.ГОЛУБІВКА, ВУЛ.НЕДЕЛІНА, БУД. 2",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,6
4686,38340807,1 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЧЕРНІГІВСЬКІЙ ОБЛАСТІ,"14030 М.ЧЕРНІГІВ, ДЕСНЯНСЬКИЙ Р-Н, ВУЛ.ЗАХИСНИКІВ УКРАЇНИ, БУД. 4",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,77
4687,38340663,13 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ХЕРСОНСЬКІЙ ОБЛАСТІ,"74800 ХЕРСОНСЬКА ОБЛ., М.КАХОВКА, ВУЛ.СОБОРНОСТІ, БУД. 31",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,36
4688,36754859,6 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЧЕРНІВЕЦЬКІЙ ОБЛАСТІ,"59100 ЧЕРНІВЕЦЬКА ОБЛ., ПУТИЛЬСЬКИЙ Р-Н, СМТ ПУТИЛА, ВУЛ.УКРАЇНСЬКА, БУД. 84",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,10
4689,38620155,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У М.КИЄВІ,"1601 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛ.ВОЛОДИМИРСЬКА, БУД. 13",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,146
4690,38342152,2 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ В ОДЕСЬКІЙ ОБЛАСТІ,"67700 ОДЕСЬКА ОБЛ., М.БІЛГОРОД-ДНІСТРОВСЬКИЙ, ВУЛ.НЕЗАЛЕЖНОСТІ, БУД. 33 Г",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,66
4691,36723292,54 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,"52100 ДНІПРОПЕТРОВСЬКА ОБЛ., П'ЯТИХАТСЬКИЙ Р-Н, М.П'ЯТИХАТКИ, ВУЛ.КЛИМЕНКА, БУД. 63",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,18
4692,09924119,НАВЧАЛЬНО-МЕТОДИЧНИЙ ЦЕНТР ЦИВІЛЬНОГО ЗАХИСТУ ТА БЕЗПЕКИ ЖИТТЄДІЯЛЬНОСТІ ХАРКІВСЬКОЇ ОБЛАСТІ,"61124 М.ХАРКІВ, СЛОБІДСЬКИЙ Р-Н, ВУЛ.ЗЕРНОВА, БУД. 4 А",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,1
4693,36729891,56 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,"53500 ДНІПРОПЕТРОВСЬКА ОБЛ., ТОМАКІВСЬКИЙ Р-Н, СМТ ТОМАКІВКА, ВУЛ.ВАТУТІНА, БУД. 2",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,10
4694,36734718,19 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У КІРОВОГРАДСЬКІЙ ОБЛАСТІ,"27100 КІРОВОГРАДСЬКА ОБЛ., НОВОУКРАЇНСЬКИЙ Р-Н, М.НОВОУКРАЇНКА, ВУЛ.КУРЧАТОВА, БУД. 21",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,6
4695,36749189,13 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЧЕРНІВЕЦЬКІЙ ОБЛАСТІ,"60500 ЧЕРНІВЕЦЬКА ОБЛ., ГЕРЦАЇВСЬКИЙ Р-Н, М.ГЕРЦА, ЛОМОНОСОВА, БУД. 21",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,17
4696,36749829,10 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЧЕРНІВЕЦЬКІЙ ОБЛАСТІ,"60100 ЧЕРНІВЕЦЬКА ОБЛ., КЕЛЬМЕНЕЦЬКИЙ Р-Н, СМТ КЕЛЬМЕНЦІ, ВУЛ.БЕСАРАБСЬКА, БУД. 8",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,18
4697,38339092,15 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У МИКОЛАЇВСЬКІЙ ОБЛАСТІ,"55501 МИКОЛАЇВСЬКА ОБЛ., ЄЛАНЕЦЬКИЙ Р-Н, СМТ ЄЛАНЕЦЬ, ВУЛ.ПАРКОВА, БУД. 81",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,7
4698,38791081,5 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У РІВНЕНСЬКІЙ ОБЛАСТІ,"34500 РІВНЕНСЬКА ОБЛ., САРНЕНСЬКИЙ Р-Н, М.САРНИ, ВУЛ.БЄЛГОРОДСЬКА, БУД. 41",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,29
4699,33113264,3 СПЕЦІАЛЬНИЙ ЦЕНТР ШВИДКОГО РЕАГУВАННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ,"66410 ОДЕСЬКА ОБЛ., АНАНЬЇВСЬКИЙ Р-Н, С.ЖЕРЕБКОВЕ",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,195
4700,38535547,УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ТЕРНОПІЛЬСЬКІЙ ОБЛАСТІ,"46011 М.ТЕРНОПІЛЬ, ВУЛ.ЛЕСІ УКРАЇНКИ, БУД. 6",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,1
4701,38643633,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ В ОДЕСЬКІЙ ОБЛАСТІ,"65091 М.ОДЕСА, МАЛИНОВСЬКИЙ Р-Н, ВУЛ.ПРОХОРІВСЬКА, БУД. 6",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,60
4702,38524996,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У МИКОЛАЇВСЬКІЙ ОБЛАСТІ,"54003 М.МИКОЛАЇВ, ЦЕНТРАЛЬНИЙ Р-Н, ВУЛ.2 ЕКІПАЖНА, БУД. 1",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,58
4703,38646021,УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЧЕРКАСЬКІЙ ОБЛАСТІ,"18029 М.ЧЕРКАСИ, СОСНІВСЬКИЙ Р-Н, ВУЛ.ПРИКОРДОННИКА ЛАЗАРЕНКА, БУД. 1",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,14
4704,38555228,УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ В ІВАНО-ФРАНКІВСЬКІЙ ОБЛАСТІ,"76018 М.ІВАНО-ФРАНКІВСЬК, ВУЛ.ФРАНКА, БУД. 6",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,3
4705,22864480,ЦЕНТРАЛЬНА ГЕОФІЗИЧНА ОБСЕРВАТОРІЯ ІМЕНІ БОРИСА СРЕЗНЕВСЬКОГО,"3028 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ПРОСП.НАУКИ, БУД. 39, КОРП. 2",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,55
4706,38637200,6 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У РІВНЕНСЬКІЙ ОБЛАСТІ,"34300 РІВНЕНСЬКА ОБЛ., ВОЛОДИМИРЕЦЬКИЙ Р-Н, СМТ ВОЛОДИМИРЕЦЬ, ВУЛ.СИМОНА ПЕТЛЮРИ, БУД. 5",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,13
4707,38516849,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ,"1030 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛ.ОЛЕСЯ ГОНЧАРА, БУД. 55",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,44
4708,06596471,ХАРКІВСЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР З ГІДРОМЕТЕОРОЛОГІЇ,"61002 М.ХАРКІВ, КИЇВСЬКИЙ Р-Н, ВУЛ.ЧЕРНИШЕВСЬКА, БУД. 48",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,56
4709,19378681,ДОНЕЦЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР З ГІДРОМЕТЕОРОЛОГІЇ,"87517 ДОНЕЦЬКА ОБЛ., М.МАРІУПОЛЬ, ПРИМОРСЬКИЙ Р-Н, ПРОСП.БУДІВЕЛЬНИКІВ, БУД. 15",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,30
4710,35303860,АВАРІЙНО-РЯТУВАЛЬНИЙ ЗАГІН СПЕЦІАЛЬНОГО ПРИЗНАЧЕННЯ ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ В ОДЕСЬКІЙ ОБЛАСТІ,"65085 М.ОДЕСА, МАЛИНОВСЬКИЙ Р-Н, ШОСЕ ТИРАСПІЛЬСЬКЕ, БУД. 14",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,64
4711,38503617,4 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У РІВНЕНСЬКІЙ ОБЛАСТІ,"35604 РІВНЕНСЬКА ОБЛ., М.ДУБНО, ВУЛ.ГРУШЕВСЬКОГО, БУД. 119",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,16
4712,38380748,10 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"80600 ЛЬВІВСЬКА ОБЛ., БРОДІВСЬКИЙ Р-Н, М.БРОДИ, ВУЛ.ГОНЧАРСЬКА, БУД. 7",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,17
4713,38652962,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ДОНЕЦЬКІЙ ОБЛАСТІ,"87547 ДОНЕЦЬКА ОБЛ., М.МАРІУПОЛЬ, ЦЕНТРАЛЬНИЙ Р-Н, ВУЛ.МИТРОПОЛИТСЬКА, БУД. 175",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,53
4714,38592652,УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ВОЛИНСЬКІЙ ОБЛАСТІ,"43020 М.ЛУЦЬК, ВУЛ.ЕЛЕКТРОАПАРАТНА, БУД. 6",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,1
4715,38624322,УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЖИТОМИРСЬКІЙ ОБЛАСТІ,"10006 М.ЖИТОМИР, БОГУНСЬКИЙ Р-Н, ВУЛ.ГЕРОЇВ ПОЖЕЖНИХ, БУД. 67-Б",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,245
4716,38613719,УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У КІРОВОГРАДСЬКІЙ ОБЛАСТІ,"25015 М.КРОПИВНИЦЬКИЙ, ПОДІЛЬСЬКИЙ Р-Н, ВУЛ.ПАШУТІНСЬКА, БУД. 1",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,6
4717,38610079,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ПОЛТАВСЬКІЙ ОБЛАСТІ,"36007 М.ПОЛТАВА, КИЇВСЬКИЙ Р-Н, ВУЛ.МАРШАЛА БІРЮЗОВА, БУД. 26/1",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,7
4718,38602403,УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У СУМСЬКІЙ ОБЛАСТІ,"40016 М.СУМИ, ЗАРІЧНИЙ Р-Н, ВУЛ.СЕРГІЯ ТАБАЛИ, БУД. 70",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,4
4719,38598371,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,"49600 М.ДНІПРО, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛ.КОРОЛЕНКА, БУД. 4",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,107
4720,38537963,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У КИЇВСЬКІЙ ОБЛАСТІ,"4071 М.КИЇВ, ПОДІЛЬСЬКИЙ Р-Н, ВУЛ.МЕЖИГІРСЬКА, БУД. 8",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,34
4721,38594707,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ХЕРСОНСЬКІЙ ОБЛАСТІ,"73000 М.ХЕРСОН, СУВОРОВСЬКИЙ Р-Н, ВУЛ.МОЛОДІЖНА, БУД. 6",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,14
4722,35346311,АВАРІЙНО-РЯТУВАЛЬНИЙ ЗАГІН СПЕЦІАЛЬНОГО ПРИЗНАЧЕННЯ ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ВІННИЦЬКІЙ ОБЛАСТІ,"23222 ВІННИЦЬКА ОБЛ., ВІННИЦЬКИЙ Р-Н, С.ЯКУШИНЦІ, КОМПЛЕКС БУДІВЕЛЬ І СПОРУД, №7",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,49
4723,38590042,УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЧЕРНІГІВСЬКІЙ ОБЛАСТІ,"14037 М.ЧЕРНІГІВ, ДЕСНЯНСЬКИЙ Р-Н, ПРОСПЕКТ МИРУ, БУД. 190А",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,28
4724,38625593,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЗАПОРІЗЬКІЙ ОБЛАСТІ,"69002 М.ЗАПОРІЖЖЯ, ОЛЕКСАНДРІВСЬКИЙ Р-Н, ВУЛ.ФОРТЕЧНА, БУД. 65",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,192
4725,33945453,МОБІЛЬНИЙ РЯТУВАЛЬНИЙ ЦЕНТР ШВИДКОГО РЕАГУВАННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ,"4114 М.КИЇВ, ОБОЛОНСЬКИЙ Р-Н, ВУЛ.ВИШГОРОДСЬКА, БУД. 150",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,71
4726,38627339,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"79008 М.ЛЬВІВ, ГАЛИЦЬКИЙ Р-Н, ВУЛ.ПІДВАЛЬНА, БУД. 6",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,9
4727,38631015,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ХАРКІВСЬКІЙ ОБЛАСТІ,"61013 М.ХАРКІВ, КИЇВСЬКИЙ Р-Н, ВУЛ.ШЕВЧЕНКА, БУД. 8",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,282
4728,38635397,ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ВІННИЦЬКІЙ ОБЛАСТІ,"21021 М.ВІННИЦЯ, 600-РІЧЧЯ, БУД. 11",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,42
