№ з/п,Орган управління,,Балансоутримувач,,,,,"Інформація щодо потенційного об""єкта оренди",,,,,,,,,,
,Код,Назва,Код за ЄДРПОУ,Назва,Юридична адреса,Контактний телефон,Регіон,Назва,Місцезнаходження,"Код класифікатора об""єкта адміністративно-територіального устрою України",Пропозиції щодо використання,Характеристика,"Площа, кв.м",,,,,
4764,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Гараж,"Первомайський р-н, м. ПЕРВОМАЙСЬКИЙ, вул. БУДІВЕЛЬНА, 9",6324500000,надання в оренду,цегляна будівля,"39,2",,,,,
4765,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Сарай,"Первомайський р-н, м. ПЕРВОМАЙСЬКИЙ, вул. БУДІВЕЛЬНА, 9",6324500000,надання в оренду,цегляна будівля,"33,6",,,,,
4766,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Сарай,"Первомайський р-н, м. ПЕРВОМАЙСЬКИЙ, вул. БУДІВЕЛЬНА, 9",6324500000,надання в оренду,цегляна будівля,"19,4",,,,,
4767,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Будівля,"Сахновщинський р-н, смт САХНОВЩИНА, вул. КУДАРЯ, 2",6324800000,надання в оренду,цегляна будівля,"89,8",,,,,
4768,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Гараж,"Сахновщинський р-н, смт САХНОВЩИНА, вул. КУДАРЯ, 2",6324800000,надання в оренду,цегляна будівля,"24,8",,,,,
4769,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Погріб,"Сахновщинський р-н, смт САХНОВЩИНА, вул. КУДАРЯ, 2",6324800000,надання в оренду,цегляний,"13,3",,,,,
4770,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Сарай,"Сахновщинський р-н, смт САХНОВЩИНА, вул. КУДАРЯ, 2",6324800000,надання в оренду,цегляна будівля,"33,2",,,,,
4771,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Будівля,"Чугуївський р-н, м. ЧУГУЇВ, вул. ДРУЖБИ, 10",6325400000,надання в оренду,цегляна будівля,"112,3",,,,,
4772,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Сарай,"Чугуївський р-н, м. ЧУГУЇВ, вул. ДРУЖБИ, 10",6325400000,надання в оренду,цегляна будівля,"23,4",,,,,
4773,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Погріб,"Чугуївський р-н, м. ЧУГУЇВ, вул. ДРУЖБИ, 10",6325400000,надання в оренду,цегляний,"12,3",,,,,
4774,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Будівля,"Шевченківський р-н, смт ШЕВЧЕНКОВЕ, вул. ШИРЯЄВА, 1",6325700000,надання в оренду,цегляна будівля,"102,0",,,,,
4775,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Гараж,"Шевченківський р-н, смт ШЕВЧЕНКОВЕ, вул. ШИРЯЄВА, 1",6325700000,надання в оренду,цегляна будівля,"21,5",,,,,
4776,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Погріб,"Шевченківський р-н, смт ШЕВЧЕНКОВЕ, вул. ШИРЯЄВА, 1",6325700000,надання в оренду,цегляний,"11,5",,,,,
4777,21210,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,40324829,ГУ в Харківській області,"м.Харків, вул.Науки, 40",(057)725-19-13,63,Сарай,"Шевченківський р-н, смт ШЕВЧЕНКОВЕ, вул. ШИРЯЄВА, 1",6325700000,надання в оренду,цегляна будівля,"18,7",,,,,
4778,24134,Державна служба України з надзвичайних ситуацій,38631015,ГУ ДСНС України у Харківській області,"61013, м. Харків,                       вул. Шевченка, 8",(057) 7666675,63,Будівля пожежного депо,"Харківська область, Валківський р-н,                       смт Ков’яги,                  вул. Заводська, 2",6321255400,Будь-яке використання,"1-пов. будівля пож. депо (цегляна); газове опалення, електроенергія, водопостачання, каналізація, потребує капітального ремонту","270,0",,,,,
4779,24134,Державна служба України з надзвичайних ситуацій,38631015,ГУ ДСНС України у Харківській області,"61013, м. Харків,               вул. Шевченка, 8",(057) 7666675,63,2-й поверх пожежної частини ,"Харківська область, Дергачівський р-н,           смт Козача Лопань, пл.Черв. Партизан,11",6322055600,Офіс,"2-й поверх 2-пов. цегляної будівлі пожежного депо, газове опалення, електроенергія, потребує поточного ремонту ","300,0",,,,,
4780,24134,Державна служба України з надзвичайних ситуацій,38631015,ГУ ДСНС України у Харківській області,"61013, м. Харків, вул. Шевченка, 8",(057) 7666675,63,Частина 2-го поверху пожежної частини,"Харківська область, Дергачівський р-н,              смт Солоницівка,                  вул. Клубна, 6",6322057600,Офіс,"Частина 2-го поверху                                     2-поверхової цегляної будівлі пожежного депо, теплопостачання, електроенергія, водопостачання, канклізація, потребує поточного ремонту","32,0",,,,,
4781,24134,Державна служба України з надзвичайних ситуацій,08571363,Національний університет цивільного захисту України,"м. Харків,                          вул. Чернишевська, 94",(057) 7073455,63,Клуб,"м. Харків, вул. Баварська, 7",6310136600,"Для розміщення офісних, виробничих приміщень, соціально-побутових обєктів, комунального призначення, складів, гаражів",Відокремлена 2-поверхова будівля. Потребує поточного ремонту,"4693,5",,,,,
4782,24134,Державна служба України з надзвичайних ситуацій,33879077,Навчальний центр Оперативно-рятувальної служби цивільного захисту ,"Харківська обл., Нововодолазький р-н, с. Ватутіне",(057) 4068329,63,Клуб,"Харківська обл., Нововодолазький р-н, с. Ватутіне",6324280301,Розміщення телекомуні-каційного обладнання,"Цегляна одноповерхова будівля. Теплопостачанн, електропостачання, водовідведення в наявності","2,0",,,,,
4783,24134,Державна служба України з надзвичайних ситуацій,33879077,Навчальний центр Оперативно-рятувальної служби цивільного захисту ,"Харківська обл., Нововодолазький р-н, с. Ватутіне",(057) 4068329,63,Крамниця на 4 робочих місця,"Харківська обл., Нововодолазький р-н, с. Ватутіне",6324280301,Буфет,Цегляна одноповерхова будівля. Електропостачанняв наявності. Теплопостачання та водовідведення відсутні ,"23,4",,,,,
4784,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Нежитлова будівля кафе, літ. А-1","м. Богодухів, 
вул. Катукова, 10",6320810100,кафе,не задовільний,"513,7",,,,,
4785,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Нежитлова будівля, літ. А, А1, А2, а","c. Малинівка, 
вул. Б.Хмельницького, 3-а",6325455900,"магазин,
склад",не задовільний,"142,6",,,,,
4786,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Будівля, літ. А, нежитлове приміщення (кімн № 15, 16,17,18)","м. Чугуїв, вул. Гвардійська, б.7",6312000000,"магазин,
склад",не задовільний,"23,8",,,,,
4787,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Кафе ""Зустріч"", літ. А, ","м. Чугуїв, 
вул. Каляєва, 9-А",6312000000,кафе,не задовільний,"447,00",,,,,
4788,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Нежитлова будівля магазину , кімн№3,№4","м. Балаклія, вул. 1-го Травня,8",6320210100,"магазин,
склад",добрий,"57,60",,,,,
4789,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Нежитлова бу-дівля, будівля магазину №9, літ. А, ","Куп'янський р-н, 
c. Курилівка-1, 17-а",6310745000,"магазин,
склад",стан задовільний,"310,2",,,,,
4790,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Торгівельний кіоск ""Снежінка"", "," м. Харків, 
вул. С.Тархова, 13",6310100000,"магазин,
склад",потребує ремонту,"18,00",,,,,
4791,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Торгівельний кіоск ""Сніжок"", ","м. Харків, 
вул. С.Тархова, 13",6310100000,"магазин,
склад",не задовільний,"25,00",,,,,
4792,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,Майстерня (хімчистка),"м. Харків, вул. Переможців, 6-А",6310100000,склад,стан задовільний,"269,3",,,,,
4793,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Гаражі, літ. Г-1","м. Харків, вул. Переможців, 6-А",6310100000,склад,стан задовільний,"159,9",,,,,
4794,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Склад, літ. Д-1","м. Харків, вул. Переможців, 6-А",6310100000,склад,стан задовільний,"127,5",,,,,
4795,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Склад, літ. Н-1","м. Харків, вул. Переможців, 6-А",6310100000,склад,стан задовільний,"35,5",,,,,
4796,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Склад, літ. И-1","м. Харків, вул. Переможців, 6-А",6310100000,склад,стан задовільний,"142,7",,,,,
4797,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Навіс, літ. М-1","м. Харків, вул. Переможців, 6-А",6310100000,склад,стан задовільний,"1491,7",,,,,
4798,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Гараж легк. авт. , літ. Ж-1","м. Харків, вул. Переможців, 6-А",6310100000,склад,стан задовільний,"131,4",,,,,
4799,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Майстерні ( цех № 1), літ. А-2","м. Харків, вул. Переможців, 6-А",6310100000,склад,стан задовільний,"1438,3",,,,,
4800,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"Столярна майстерня, літ.З-1","м. Харків, вул. Переможців, 6-А",6310100000,склад,стан задовільний,"236,7",,,,,
4801,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,Частина нежитлової будівлі( Солдатська чайна №1)                      ( кімн№24),"м. Харків, вул. Полтавський шлях,179-В",6310100000,"магазин,
склад",стан задовільний,"18,4",,,,,
4802,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  1,2,3,4,5,6,7,8,9,10,11,12, першого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"їдальня,склад,офіс,магазин",стан задовільний,128,,,,,
4803,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  13,14 першого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,склад,стан задовільний,"6,7",,,,,
4804,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 15 першого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,офіс,стан задовільний,"15,9",,,,,
4805,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  16,17,18,19,20,21,22,23,24 першого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"151,6",,,,,
4806,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №25 першого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,,стан задовільний,"16,8",,,,,
4807,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  26,27,28 першого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"склад,офіс",стан задовільний,"23,5",,,,,
4808,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  29,30,31,32,33,34,35,36,37,,38,39,40,41 першого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"склад,офіс",стан задовільний,56,,,,,
4809,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 42,43,44,45,46 першого поверхуадміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"63,1",,,,,
4810,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 47 першого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,офіс,стан задовільний,"20,7",,,,,
4811,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  49 першого поверхуадміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,склад,стан задовільний,"31,5",,,,,
4812,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 50  першого поверхуадміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"15,8",,,,,
4813,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  51,52 першого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,склад,стан задовільний,43,,,,,
4814,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  50а першого поверхуадміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,офіс,стан задовільний,"16,1",,,,,
4815,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  1,2,3,4,5 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"122,9",,,,,
4816,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 6,7,8,9 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"20,7",,,,,
4817,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  10,11,12,13,14,15,16 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"79,7",,,,,
4818,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  17,18 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,склад,стан задовільний,"41,2",,,,,
4819,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 19 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,офіс,стан задовільний,"18,6",,,,,
4820,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 20,21,22  другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,офіс,стан задовільний,"26,2",,,,,
4821,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  23 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,офіс,стан задовільний,14,,,,,
4822,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  24,25,29 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,80,,,,,
4823,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 26,27 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,38,,,,,
4824,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  28 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"19,8",,,,,
4825,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  30 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"17,6",,,,,
4826,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  31,32 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"19,5",,,,,
4827,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  33,34 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"19,2",,,,,
4828,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 35,36,37 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,21,,,,,
4829,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  38,39 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,офіс,стан задовільний,"20,8",,,,,
4830,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №  40,41 другого поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"18,5",,,,,
4831,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 1,2,3,4,5,6 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,офіс,стан задовільний,"64,1",,,,,
4832,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №7,8 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"33,1",,,,,
4833,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №9 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"склад,офіс",стан задовільний,"204,1",,,,,
4834,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 10,13 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"склад,офіс",стан задовільний,"18,4",,,,,
4835,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 11 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"склад,офіс",стан задовільний,"5,4",,,,,
4836,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 12,14 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"склад,офіс",стан задовільний,"19,7",,,,,
4837,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 15,16 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"склад,офіс",стан задовільний,"14,7",,,,,
4838,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 17,19,31,32,33,34третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"склад,офіс",стан задовільний,"36,1",,,,,
4839,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 20,21третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,офіс,стан задовільний,"35,7",,,,,
4840,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 22,23 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,офіс,стан задовільний,"32,2",,,,,
4841,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 29,30 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"18,3",,,,,
4842,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 18 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,склад,стан задовільний,"51,5",,,,,
4843,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №26,27,28 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,"офіс,склад",стан задовільний,"23,5",,,,,
4844,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 24 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,офіс,стан задовільний,"16,4",,,,,
4845,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення № 25 третього поверху адміністративна будівля, літ. А-3","м. Харків, вул. Кільцевий проїзд,1",6310100000,,стан задовільний,"16,8",,,,,
4846,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,"приміщення №29,30 третього поверху адміністративна будівля, літ. А-4","м. Харків, вул. Кільцевий проїзд,2",6310100000,офіс,стан задовільний,"18,3",,,,,
4847,14084,Міністерство оборони України,33689922,"Концерн ""Військторгсервіс""","м. Київ, вул. Молодогвардійська, 28-А",(044) 243-39-36,63,Нежитлова будівля літ. А-1( адміністративно-виробниче приміщення) кімн №13,"м. Харків, вул. Коцарська,60",6310100000,офіс,стан задовільний,"34,8",,,,,
4848,11084,Міністерство освіти і науки України ,1116472,Український державний університет залізничного транспорту,"Харківська обл, Харківський район, м.Харків,майдан Фейєрбаха,7",(057)732-28-75,63,учбовий корпус №4,"Харківська обл, м.Харків, пров.Деповський,2а",6310138800,буфет,"2-х поверховий учбовий корпус №4, 1-й поверх, забезпечено системами тепла,електропостачання, водопостачання",101,,,,,
4849,11084,Міністерство освіти і науки України ,1116472,Український державний університет залізничного транспорту,"Харківська обл, Харківський район, м.Харків,майдан Фейєрбаха,7",(057)732-28-75,63,нежитлова будівля з переходом,"Харківська обл, м.Харків, вул.Молочна,3",6310136900,"складські, офісні, торгівельні, інші","2-х поверхова будівля,  системи теплопостачання, електропостачання, водопостачання тимчасово відключені","2120,7",,,,,
4850,11084,Міністерство освіти і науки України ,25462474,"Державний навчальний заклад ""Pегiональний центр професійної освіти будівельних технологій Харківської області""","   61121 Харківська обл.,  м.Харків вул. В.Зубенко, 39",573645001,63,навчально-адміністративний корпус,"61038 Харківська обл., м.Харків вул. І.Камишева буд.16/12",6310137500,Пропонується в аренду під дрібне виробництво та інше,"Є в наявності централізоване електропостачання, водопостачання, опалення ","2715,7",,,,,
